id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
ese-nguyen/15ES__chat_bot;ese-nguyen/15ES;https://github.com/ese-nguyen/15ES;0;0;2019-07-07T03:59:35Z;2019-07-07T04:13:33Z;2019-07-07T04:12:23Z;master;ese-nguyen;29330204;User;7bccc18e94e6dd9803cc6e428a0aff6001648751;2019-07-07T04:12:22Z;chat_bot;['chat_bot/domain.yml', 'chat_bot/domains.yml'];2;['chat_bot/nlu.md'];1;['chat_bot/actions.py'];1;['README.md', 'app/README.md', 'app/app/README.md', 'app/app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md', 'app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md', 'chat_bot/README.md'];6;['chat_bot/config.yml'];1;[]
Infra-Knight/Rasa-chatbot__rasa-bot;Infra-Knight/Rasa-chatbot;https://github.com/Infra-Knight/Rasa-chatbot;0;0;2019-05-01T10:17:09Z;2019-07-04T13:49:56Z;2019-07-04T13:49:55Z;master;Infra-Knight;40786878;User;dd082e792ef832852df425922cdff979caeecff8;2019-07-04T13:49:54Z;rasa-bot;['rasa-bot/domain-0.yml', 'rasa-bot/domain-1.yml', 'rasa-bot/domain-2-correct-backup copy.yml', 'rasa-bot/domain-2-correct-backup.yml', 'rasa-bot/domain-2-correct.yml', 'rasa-bot/domain-2.yml', 'rasa-bot/domain-3.yml', 'rasa-bot/domain.yml', 'rasa-bot/vinh-domain.yml'];9;['rasa-bot/data/nlu_interactive.md', 'rasa-bot/nlu-0.md', 'rasa-bot/nlu-1.md', 'rasa-bot/nlu-2-1.md', 'rasa-bot/nlu-2.md', 'rasa-bot/nlu-3.md', 'rasa-bot/nlu.md', 'rasa-bot/nlu/automotive_engineering.md', 'rasa-bot/nlu/business_administration.md', 'rasa-bot/nlu/chemical_engineering.md', 'rasa-bot/nlu/chitchat.md', 'rasa-bot/nlu/civil_engineering.md', 'rasa-bot/nlu/computer_engineering.md', 'rasa-bot/nlu/computer_science.md', 'rasa-bot/nlu/electrical_electronic_engineering.md', 'rasa-bot/nlu/environmental_and_technology_management.md', 'rasa-bot/nlu/environmental_engineering.md', 'rasa-bot/nlu/food_engineering.md', 'rasa-bot/nlu/ielts_toefl.md', 'rasa-bot/nlu/mechanical_engineering.md', 'rasa-bot/nlu/mechatronic_engineering.md', 'rasa-bot/nlu/more.md', 'rasa-bot/nlu/petroleum_engineering.md', 'rasa-bot/nlu/transportation_engineering.md', 'rasa-bot/nlu/university.md', 'rasa-bot/vinh-nlu.md'];26;['rasa-bot/actions.py'];1;['README.md'];1;['rasa-bot/nlu_config-OG.yml', 'rasa-bot/nlu_config.yml'];2;[]
currywu123/RASA-FLASK-Chinese-Chatbot__.;currywu123/RASA-FLASK-Chinese-Chatbot;https://github.com/currywu123/RASA-FLASK-Chinese-Chatbot;19;5;2020-01-14T08:35:49Z;2024-10-19T05:03:11Z;2019-06-20T01:51:24Z;master;currywu123;53167682;User;e7506576522343c0b0934bea613779ca62b66f9c;2019-06-20T01:50:51Z;.;['domain.yml', 'domain_ori.yml'];2;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1;[]
JancisWang/RASA-FLASK-Chinese-Chatbot__.;JancisWang/RASA-FLASK-Chinese-Chatbot;https://github.com/JancisWang/RASA-FLASK-Chinese-Chatbot;2;1;2019-06-19T02:21:26Z;2023-02-21T08:43:03Z;2019-06-20T01:51:24Z;master;JancisWang;25074921;User;e7506576522343c0b0934bea613779ca62b66f9c;2019-06-20T01:50:51Z;.;['domain.yml', 'domain_ori.yml'];2;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1;[]
veronicaads/pybot-chatbot__domain;veronicaads/pybot-chatbot;https://github.com/veronicaads/pybot-chatbot;1;0;2019-06-11T01:51:47Z;2023-03-19T18:36:12Z;2019-06-11T01:52:14Z;master;veronicaads;48707627;User;57cf36397be3290188ec451207e87d9a20519c5d;2019-04-10T23:42:04Z;domain;['domain/chat_domain.yml', 'domain/domain.yml'];2;[];0;[];0;['README.md'];1;[];0;[]
vivek1739/RASA-Chatbot__building chatbot-jpboost yt;vivek1739/RASA-Chatbot;https://github.com/vivek1739/RASA-Chatbot;0;0;2019-06-09T06:29:57Z;2019-06-10T07:30:39Z;2019-06-10T07:30:38Z;master;vivek1739;31535979;User;59230c0bcdfd684c9433702f90d72c0d28534180;2019-06-10T07:30:26Z;building chatbot-jpboost yt;['building chatbot-jpboost yt/domain.yml', 'building chatbot-jpboost yt/weather_domain.yml', 'building chatbot-jpboost yt/weather_domain1.yml'];3;[];0;[];0;['README.md'];1;['building chatbot-jpboost yt/models/nlu/default/weathernlu/metadata.json'];1;[]
aifriend/virtual_assistant__deploy/rasa_data/domains.back/examples;aifriend/virtual_assistant;https://github.com/aifriend/virtual_assistant;0;0;2019-02-26T14:13:49Z;2024-04-15T18:04:50Z;2019-04-30T19:48:42Z;master;aifriend;33095863;User;cb4819ecd00dd6473dccdeac30be1fecd7421a24;2019-03-21T14:09:51Z;deploy/rasa_data/domains.back/examples;['deploy/rasa_data/domains.back/examples/domain_iter4.yml', 'deploy/rasa_data/domains.back/examples/domain_restaurant.yml'];2;[];0;[];0;['README.md'];1;[];0;['deploy/rasa_data/actions.back/admin.py', 'deploy/rasa_data/actions.back/example/actions_repsol4.py', 'deploy/rasa_data/actions.back/example/actions_repsol5.py', 'deploy/rasa_data/actions.back/example/actions_restaurant.py', 'interface/WA/client/README.md', 'interface/WA/README.md']
Rowl1ng/rasa_wechat__mom;Rowl1ng/rasa_wechat;https://github.com/Rowl1ng/rasa_wechat;49;24;2017-11-07T12:11:44Z;2022-07-05T14:14:51Z;2019-04-26T02:49:49Z;master;Rowl1ng;16190603;User;2ee1eb3dd5a9c87f83ea91a5ec42f491c86a77c4;2019-04-26T02:49:39Z;mom;['mom/domain.yml', 'mom/default_domain.yml'];2;['mom/data/nlu.json'];1;[];0;['README.md'];1;['mom/nlu_model_config.json'];1;['rasa_core/actions/action.py', 'rasa_core/actions/factories.py', '.travis.yml']
Rowl1ng/rasa_wechat__examples;Rowl1ng/rasa_wechat;https://github.com/Rowl1ng/rasa_wechat;49;24;2017-11-07T12:11:44Z;2022-07-05T14:14:51Z;2019-04-26T02:49:49Z;master;Rowl1ng;16190603;User;2ee1eb3dd5a9c87f83ea91a5ec42f491c86a77c4;2019-04-26T02:49:39Z;examples;['examples/restaurant_domain.yml', 'examples/default_domain.yml'];2;['examples/babi/data/franken_data.json'];1;[];0;['README.md', 'examples/babi/README.md', 'examples/fake_user/README.md'];3;[];0;[]
Flippo13/Immersive-NPC-ChatbotService__rinnol;Flippo13/Immersive-NPC-ChatbotService;https://github.com/Flippo13/Immersive-NPC-ChatbotService;0;0;2018-11-23T11:07:26Z;2019-01-22T10:04:53Z;2019-01-22T10:04:51Z;master;Flippo13;23454133;User;b999d17c842decedbdda9c0e518e7b1597a47b52;2019-01-22T10:04:42Z;rinnol;['rinnol/first_training_domain.yml', 'rinnol/train_domain.yml'];2;['rinnol/data/chitchatdata.md', 'rinnol/oldData/data.md', 'rinnol/oldData/nlu_interactive.md', 'rinnol/oldData/reward_data.md'];4;[];0;[];0;['rinnol/config_nlu.yml'];1;[]
