id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files
AdityaYadav02/Foodie_Chatbot_Rasa_Case_Study;AdityaYadav02/Foodie_Chatbot_Rasa_Case_Study;https://github.com/AdityaYadav02/Foodie_Chatbot_Rasa_Case_Study;0;0;2022-03-04T05:59:05Z;2022-03-04T06:03:26Z;2022-03-04T06:05:20Z;main;AdityaYadav02;43476940;User;33ac0cc40557d1c90be09c58204104f9d981d2db;2022-03-04T06:05:20Z;.;['domain.yml', 'domain2.yml'];2;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1
mbunse/botui_demo;mbunse/botui_demo;https://github.com/mbunse/botui_demo;2;1;2019-02-21T22:19:15Z;2022-02-28T09:47:18Z;2022-03-02T14:36:13Z;master;mbunse;5903796;User;78a5eb13e1deba6a7e61b50c7fa0b6330bac80d3;2022-02-28T09:43:04Z;backend;['backend/domain.yml', 'backend/domain_de.yml'];2;['backend/data/nlu.yml', 'backend/data_de/nlu.yml'];2;['backend/actions.py'];1;['README.md'];1;['backend/config.yml', 'backend/config_de.yml'];2
anhquan075/rasa_programming_learning;anhquan075/rasa_programming_learning;https://github.com/anhquan075/rasa_programming_learning;4;1;2022-02-27T09:02:39Z;2023-12-03T14:42:14Z;2022-02-27T15:53:50Z;main;anhquan075;54442768;User;35c6086c79d2f14b5561ee0e06cd91425dfa0716;2022-02-27T15:53:50Z;.;['domain.yml', 'domain_converted.yml'];2;['data/nlu_converted.yml'];1;['actions/actions.py'];1;['README.md'];1;['.travis.yml', 'config.yml'];2
adhish9/SilentMoonChatbot;adhish9/SilentMoonChatbot;https://github.com/adhish9/SilentMoonChatbot;1;0;2021-09-20T11:39:27Z;2023-03-04T09:46:49Z;2022-02-03T06:33:02Z;main;adhish9;15371202;User;522cebe81d3c2bce2bc750d61ab9c25d8d68dd13;2022-02-03T06:33:02Z;.;['domain.yml', 'domain_rasa_x.yml'];2;['data/nlu.yml'];1;['actions/actions.py'];1;[];0;['config.yml'];1
rasa-kelompok-6/unsri-chatbot-5000;rasa-kelompok-6/unsri-chatbot-5000;https://github.com/rasa-kelompok-6/unsri-chatbot-5000;1;0;2021-11-24T12:43:55Z;2024-02-10T05:10:26Z;2021-11-24T13:55:21Z;main;rasa-kelompok-6;92133268;Organization;ea1ed8e1f2544b5affd93be1d1116b2e7d0b29a8;2021-11-24T13:55:21Z;.;['backupdomain.yml', 'domain.yml'];2;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
rasa-kelompok-6/rasa-chatbot;rasa-kelompok-6/rasa-chatbot;https://github.com/rasa-kelompok-6/rasa-chatbot;0;1;2021-10-08T02:26:25Z;2021-11-18T14:21:16Z;2021-11-18T14:21:13Z;main;rasa-kelompok-6;92133268;Organization;01969be37e684caed1a9cce14047b0bae30768b0;2021-11-18T14:21:13Z;.;['backupdomain.yml', 'domain.yml'];2;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
TeamEpicProjects/CovoBot;TeamEpicProjects/CovoBot;https://github.com/TeamEpicProjects/CovoBot;1;1;2021-08-31T10:39:46Z;2021-09-29T10:03:30Z;2021-09-29T10:03:27Z;main;TeamEpicProjects;85295121;Organization;5260113e4ea8a5758d3fd754e578a37a87fa63c8;2021-09-29T10:03:27Z;.;['domain.yml', 'domainnew.yml'];2;['data/nlu.yml', 'data/nlunew.yml'];2;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
CoralGablesIT/AIDAChatBotV2;CoralGablesIT/AIDAChatBotV2;https://github.com/CoralGablesIT/AIDAChatBotV2;0;0;2021-08-27T19:37:23Z;2021-08-27T20:04:51Z;2021-08-27T20:04:48Z;main;CoralGablesIT;87492864;User;2e307236808f7ad33e2403893c3ab4587ccfaa83;2021-08-27T20:01:32Z;.;['domain.yml', 'domainold.yml'];2;['data/nlu.yml'];1;[];0;['README.md'];1;['config.yml'];1
JuanSLopez/AIDAChatBot;JuanSLopez/AIDAChatBot;https://github.com/JuanSLopez/AIDAChatBot;0;0;2021-08-25T15:21:40Z;2021-08-25T15:24:00Z;2021-08-25T15:23:52Z;main;JuanSLopez;48839477;User;0dc603e6ed02c8709569b7060bb57c5a953259db;2021-08-25T15:13:28Z;.;['domain.yml', 'domainold.yml'];2;['data/nlu.yml'];1;[];0;['README.md'];1;['config.yml'];1
kambojrakesh/Chatbot_Rasa_2.0;kambojrakesh/Chatbot_Rasa_2.0;https://github.com/kambojrakesh/Chatbot_Rasa_2.0;0;0;2021-07-12T07:00:33Z;2021-07-28T20:48:55Z;2021-07-28T20:48:52Z;main;kambojrakesh;42057314;User;5aab768aea23b447a6462d610c4953c0aa7b9dd4;2021-07-28T20:48:18Z;.;['domain copy.yml', 'domain.yml'];2;['data/nlu copy.yml', 'data/nlu.yml'];2;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
nomanmajeed/scubalifebot;nomanmajeed/scubalifebot;https://github.com/nomanmajeed/scubalifebot;0;0;2021-07-13T18:24:15Z;2021-07-13T18:37:25Z;2021-07-13T18:37:19Z;master;nomanmajeed;44547517;User;7f36c0c7bdc0726d67d85495ada204eab74ace18;2021-07-13T18:33:01Z;.;['dm.yml', 'domain.yml'];2;['data/nlu.yml'];1;['actions/actions.py'];1;[];0;['config.yml'];1
manoj567/Restaurant_Chatbot;manoj567/Restaurant_Chatbot;https://github.com/manoj567/Restaurant_Chatbot;0;0;2021-06-22T07:54:00Z;2021-06-22T07:56:19Z;2021-06-22T07:56:17Z;main;manoj567;67918721;User;460fc832a8c495e06c3a0582161e8dd055edf439;2021-06-22T07:56:16Z;Rasa_basic_folder final;['Rasa_basic_folder final/domain.yml', 'Rasa_basic_folder final/domain2.yml'];2;['Rasa_basic_folder final/data/nlu.md', 'Rasa_basic_folder final/data/nlu1.yml'];2;['Rasa_basic_folder final/actions.py'];1;['README.md'];1;['Rasa_basic_folder final/config.yml'];1
joacosaralegui/wizard_de_diseno;joacosaralegui/wizard_de_diseno;https://github.com/joacosaralegui/wizard_de_diseno;2;2;2021-05-11T15:18:35Z;2021-06-10T01:47:07Z;2021-06-15T14:34:11Z;main;joacosaralegui;33520174;User;ca7eb4c60f88619ea7e7e9a32cc91edc03dd78e4;2021-06-03T21:44:04Z;domain;['domain/flujo-domain.yml', 'domain/autoconocimiento-domain.yml', 'domain/clases-domain.yml', 'domain/conceptos-domain.yml'];4;['data/autoconocimiento/nlu.yml', 'data/clases/nlu.yml', 'data/conceptos/atributos.yml', 'data/conceptos/conceptos.yml', 'data/conceptos/patrones.yml', 'data/conceptos/patrones_poo.yml', 'data/flujo/nlu.yml', 'data/nlu.yml'];8;['actions/architecture_graph.py', 'actions/modelado.py', 'actions/analisis_de_patrones.py', 'actions/actions.py', 'actions/mongo_client.py', 'actions/entities.py'];6;['README.md'];1;['config.yml'];1
devmukul44/rasa_chatbot_restaurant_serarch;devmukul44/rasa_chatbot_restaurant_serarch;https://github.com/devmukul44/rasa_chatbot_restaurant_serarch;0;0;2021-05-29T06:17:33Z;2022-08-20T08:43:29Z;2021-06-01T03:26:01Z;master;devmukul44;15700993;User;a395e4d8ebf2558c669942deb902f2940a7ef1aa;2021-06-01T03:25:51Z;.;['domain1.yml', 'domain2.yml', 'domain.yml'];3;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1
