full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type
BickySinghwork/rasa-chatbot;https://github.com/BickySinghwork/rasa-chatbot;0;0;2024-07-03T11:36:42Z;2024-07-03T11:36:42Z;2024-07-03T11:36:42Z;main;BickySinghwork;174610422;User
RajeswariKumaran/HotelReservationChatbot-Rasa;https://github.com/RajeswariKumaran/HotelReservationChatbot-Rasa;0;0;2024-06-29T16:52:13Z;2024-06-29T16:52:13Z;2024-06-29T16:52:13Z;main;RajeswariKumaran;52888997;User
vrinda-project/rasa_chatbot;https://github.com/vrinda-project/rasa_chatbot;0;0;2024-06-25T07:50:46Z;2024-06-25T07:50:46Z;2024-06-25T07:50:46Z;main;vrinda-project;77617741;User
NupurPaliwal11/bank-assisstance-rasa-chatbot;https://github.com/NupurPaliwal11/bank-assisstance-rasa-chatbot;0;0;2024-06-24T09:19:47Z;2024-06-24T09:19:47Z;2024-06-24T09:19:47Z;main;NupurPaliwal11;167079923;User
saf1ya/chatbot;https://github.com/saf1ya/chatbot;0;0;2024-06-20T14:36:42Z;2024-06-20T14:36:43Z;2024-06-20T14:36:42Z;main;saf1ya;119602685;User
InaraSouza/ChatBotRasa;https://github.com/InaraSouza/ChatBotRasa;0;0;2024-06-16T12:34:32Z;2024-06-16T12:34:32Z;2024-06-16T12:34:32Z;main;InaraSouza;70184145;User
Gfhessen/OpportunityOrbit;https://github.com/Gfhessen/OpportunityOrbit;0;0;2024-06-03T03:18:29Z;2024-06-03T03:18:29Z;2024-06-03T03:18:29Z;main;Gfhessen;164100610;User
karimomrane/Chatbot-Rasa-Back-Python;https://github.com/karimomrane/Chatbot-Rasa-Back-Python;0;0;2024-06-02T02:45:08Z;2024-06-02T02:45:08Z;2024-06-02T02:45:08Z;main;karimomrane;63483461;User
Ishaq-p/Rasa_chatBot;https://github.com/Ishaq-p/Rasa_chatBot;0;0;2024-05-24T16:15:59Z;2024-05-24T16:16:00Z;2024-05-24T16:16:00Z;main;Ishaq-p;65335868;User
DiegoIEC/Chatbot-with-Rasa;https://github.com/DiegoIEC/Chatbot-with-Rasa;0;0;2024-05-18T20:44:05Z;2024-05-18T20:44:05Z;2024-05-18T20:44:05Z;main;DiegoIEC;53939730;User
mamtajha-ts/rasa-chatbot;https://github.com/mamtajha-ts/rasa-chatbot;0;0;2024-05-01T18:34:00Z;2024-05-01T18:34:01Z;2024-05-01T18:34:01Z;main;mamtajha-ts;53425362;User
Fefe-Rc/rasa_chatbot;https://github.com/Fefe-Rc/rasa_chatbot;0;0;2024-04-22T07:25:42Z;2024-04-22T07:25:43Z;2024-04-22T07:25:43Z;main;Fefe-Rc;147915628;User
dokotela021/rasa-chatbot-university-selection-assistance;https://github.com/dokotela021/rasa-chatbot-university-selection-assistance;0;0;2024-04-19T21:48:02Z;2024-04-19T21:48:02Z;2024-04-19T21:48:02Z;main;dokotela021;126469844;User
Nsibihedi/custum-parcel-chatbot-rasa;https://github.com/Nsibihedi/custum-parcel-chatbot-rasa;1;0;2024-04-18T14:56:08Z;2024-04-18T15:17:31Z;2024-04-18T14:56:09Z;main;Nsibihedi;132267952;User
Mayur7718070709/Chatbot;https://github.com/Mayur7718070709/Chatbot;0;0;2024-04-14T20:19:29Z;2024-04-14T20:19:29Z;2024-04-14T20:19:29Z;mayur;Mayur7718070709;50384338;User
HiNT89/rasa-chatbot;https://github.com/HiNT89/rasa-chatbot;0;0;2024-04-14T13:27:10Z;2024-04-14T13:27:11Z;2024-04-14T13:27:11Z;main;HiNT89;107159970;User
abirallaoui/TP4_ChatbotRasa_ReservationRestaurant;https://github.com/abirallaoui/TP4_ChatbotRasa_ReservationRestaurant;0;0;2024-04-03T22:59:19Z;2024-04-03T22:59:20Z;2024-04-03T22:59:20Z;main;abirallaoui;135226898;User
Anildumbare/Rasa-Restaurant-Chatbot;https://github.com/Anildumbare/Rasa-Restaurant-Chatbot;0;0;2024-03-29T18:13:12Z;2024-03-29T18:13:12Z;2024-03-29T18:13:12Z;main;Anildumbare;134308833;User
salbinodev/echatbot;https://github.com/salbinodev/echatbot;0;0;2024-03-21T18:44:50Z;2024-03-21T18:44:50Z;2024-03-21T18:44:50Z;main;salbinodev;116595762;User
SivanBershan/chat_bot;https://github.com/SivanBershan/chat_bot;0;0;2024-03-21T07:20:24Z;2024-03-21T07:20:24Z;2024-03-21T07:20:24Z;main;SivanBershan;2496985;User
mohamedsaoud7/Rasa-chatbot;https://github.com/mohamedsaoud7/Rasa-chatbot;0;0;2024-03-20T09:41:10Z;2024-03-20T09:41:10Z;2024-03-20T09:41:10Z;main;mohamedsaoud7;100589406;User
