id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
Elysian01/Rasa-bots__Bots/collect_excel_info;Elysian01/Rasa-bots;https://github.com/Elysian01/Rasa-bots;0;2;2020-09-17T09:06:29Z;2021-05-29T23:58:53Z;2021-05-29T23:58:51Z;master;Elysian01;51092882;User;2b1869b86d76f07d398508164a075ced69d442c2;2021-05-29T23:58:51Z;Bots/collect_excel_info;['Bots/collect_excel_info/domain.yml'];1;['Bots/collect_excel_info/data/nlu.md'];1;[];0;['README.md'];1;['Bots/collect_excel_info/config.yml'];1;[]
Elysian01/Rasa-bots__Bots/login_register_bot;Elysian01/Rasa-bots;https://github.com/Elysian01/Rasa-bots;0;2;2020-09-17T09:06:29Z;2021-05-29T23:58:53Z;2021-05-29T23:58:51Z;master;Elysian01;51092882;User;2b1869b86d76f07d398508164a075ced69d442c2;2021-05-29T23:58:51Z;Bots/login_register_bot;['Bots/login_register_bot/domain.yml'];1;['Bots/login_register_bot/data/nlu.yml'];1;['Bots/login_register_bot/actions/actions.py'];1;['Bots/login_register_bot/README.md', 'README.md'];2;['Bots/login_register_bot/config.yml'];1;[]
Elysian01/Rasa-bots__Bots/corona_faq;Elysian01/Rasa-bots;https://github.com/Elysian01/Rasa-bots;0;2;2020-09-17T09:06:29Z;2021-05-29T23:58:53Z;2021-05-29T23:58:51Z;master;Elysian01;51092882;User;2b1869b86d76f07d398508164a075ced69d442c2;2021-05-29T23:58:51Z;Bots/corona_faq;['Bots/corona_faq/domain.yml'];1;['Bots/corona_faq/data/nlu.md'];1;[];0;['README.md'];1;['Bots/corona_faq/config.yml'];1;[]
Elysian01/Rasa-bots__Bots/covid_19_bot;Elysian01/Rasa-bots;https://github.com/Elysian01/Rasa-bots;0;2;2020-09-17T09:06:29Z;2021-05-29T23:58:53Z;2021-05-29T23:58:51Z;master;Elysian01;51092882;User;2b1869b86d76f07d398508164a075ced69d442c2;2021-05-29T23:58:51Z;Bots/covid_19_bot;['Bots/covid_19_bot/domain.yml'];1;['Bots/covid_19_bot/data/nlu.md'];1;['Bots/covid_19_bot/actions.py'];1;['Bots/covid_19_bot/README.md', 'README.md'];2;['Bots/covid_19_bot/config.yml'];1;[]
Elysian01/Rasa-bots__Bots/fruit_seller_bot_with_recommendation_system;Elysian01/Rasa-bots;https://github.com/Elysian01/Rasa-bots;0;2;2020-09-17T09:06:29Z;2021-05-29T23:58:53Z;2021-05-29T23:58:51Z;master;Elysian01;51092882;User;2b1869b86d76f07d398508164a075ced69d442c2;2021-05-29T23:58:51Z;Bots/fruit_seller_bot_with_recommendation_system;['Bots/fruit_seller_bot_with_recommendation_system/domain.yml'];1;['Bots/fruit_seller_bot_with_recommendation_system/data/nlu.yml'];1;['Bots/fruit_seller_bot_with_recommendation_system/actions/actions.py'];1;['Bots/fruit_seller_bot_with_recommendation_system/README.md', 'README.md'];2;['Bots/fruit_seller_bot_with_recommendation_system/config.yml'];1;[]
ng22t7a/NLP_rasa__chatbot_example;ng22t7a/NLP_rasa;https://github.com/ng22t7a/NLP_rasa;0;1;2021-05-28T10:41:59Z;2021-05-28T10:51:02Z;2021-05-28T10:50:59Z;main;ng22t7a;62422070;User;a6233c7c96956b0e99df3f7c45b80e7fcfc7ad4b;2021-05-28T10:50:36Z;chatbot_example;['chatbot_example/domain.yml'];1;['chatbot_example/data/nlu.md'];1;['chatbot_example/actions.py'];1;['README.md'];1;['chatbot_example/config.yml'];1;[]
ng22t7a/NLP_rasa__my_chatbot;ng22t7a/NLP_rasa;https://github.com/ng22t7a/NLP_rasa;0;1;2021-05-28T10:41:59Z;2021-05-28T10:51:02Z;2021-05-28T10:50:59Z;main;ng22t7a;62422070;User;a6233c7c96956b0e99df3f7c45b80e7fcfc7ad4b;2021-05-28T10:50:36Z;my_chatbot;['my_chatbot/domain.yml'];1;['my_chatbot/data/nlu.md'];1;['my_chatbot/actions.py'];1;['README.md'];1;['my_chatbot/config.yml'];1;[]
FRANZKAFKA13/Spotify_Whatsapp_Bot__bot;FRANZKAFKA13/Spotify_Whatsapp_Bot;https://github.com/FRANZKAFKA13/Spotify_Whatsapp_Bot;1;0;2021-04-17T10:36:39Z;2021-05-19T19:39:47Z;2021-05-24T13:23:47Z;main;FRANZKAFKA13;43933363;User;5da5de8ff1ed270e1ca8795fc6029a7aa8d39af7;2021-05-15T17:46:40Z;bot;['bot/domain.yml'];1;['bot/data/nlu.yml'];1;['bot/actions/actions.py', 'bot/actions/functions/api_connection.py', 'bot/actions/functions/api_functions.py', 'bot/actions/functions/database_access.py', 'bot/actions/functions/data_import.py'];5;['README.md'];1;['bot/config.yml'];1;[]
FRANZKAFKA13/Spotify_Whatsapp_Bot__default_bot;FRANZKAFKA13/Spotify_Whatsapp_Bot;https://github.com/FRANZKAFKA13/Spotify_Whatsapp_Bot;1;0;2021-04-17T10:36:39Z;2021-05-19T19:39:47Z;2021-05-24T13:23:47Z;main;FRANZKAFKA13;43933363;User;5da5de8ff1ed270e1ca8795fc6029a7aa8d39af7;2021-05-15T17:46:40Z;default_bot;['default_bot/domain.yml'];1;['default_bot/data/nlu.yml'];1;[];0;['README.md'];1;['default_bot/config.yml'];1;[]
shilpajv/bankBOT__ras/y/data_org;shilpajv/bankBOT;https://github.com/shilpajv/bankBOT;0;1;2020-10-12T14:44:55Z;2021-05-15T11:31:31Z;2021-05-15T11:31:29Z;main;shilpajv;50773708;User;77414235bace83e6db5f6ba4e116ce2b9c139014;2021-05-15T11:31:29Z;ras/y/data_org;['ras/y/data_org/domain.yml'];1;['ras/y/data_org/nlu.yml'];1;[];0;['README.md'];1;[];0;[]
ParshvaTimbadia/HealthCare-ChatBot-Using-RASA__Healthcare/Module 1 (Insurance checker)/Insurance checker;ParshvaTimbadia/HealthCare-ChatBot-Using-RASA;https://github.com/ParshvaTimbadia/HealthCare-ChatBot-Using-RASA;0;1;2021-05-11T23:40:14Z;2021-05-12T00:01:02Z;2021-05-12T00:01:00Z;master;ParshvaTimbadia;25700816;User;1204dd9de1531015c7b8a998ec5364ac2e929d27;2021-05-12T00:01:00Z;Healthcare/Module 1 (Insurance checker)/Insurance checker;['Healthcare/Module 1 (Insurance checker)/Insurance checker/domain.yml'];1;['Healthcare/Module 1 (Insurance checker)/Insurance checker/data/nlu.yml'];1;['Healthcare/Module 1 (Insurance checker)/Insurance checker/actions/actions.py'];1;['README.md'];1;['Healthcare/Module 1 (Insurance checker)/Insurance checker/config.yml'];1;[]
ParshvaTimbadia/HealthCare-ChatBot-Using-RASA__Healthcare/Module 2 (Hospital finder and Symptom checker);ParshvaTimbadia/HealthCare-ChatBot-Using-RASA;https://github.com/ParshvaTimbadia/HealthCare-ChatBot-Using-RASA;0;1;2021-05-11T23:40:14Z;2021-05-12T00:01:02Z;2021-05-12T00:01:00Z;master;ParshvaTimbadia;25700816;User;1204dd9de1531015c7b8a998ec5364ac2e929d27;2021-05-12T00:01:00Z;Healthcare/Module 2 (Hospital finder and Symptom checker);['Healthcare/Module 2 (Hospital finder and Symptom checker)/domain.yml'];1;['Healthcare/Module 2 (Hospital finder and Symptom checker)/data/nlu.yml'];1;['Healthcare/Module 2 (Hospital finder and Symptom checker)/actions/actions.py'];1;['README.md'];1;['Healthcare/Module 2 (Hospital finder and Symptom checker)/config.yml'];1;[]
